name,type,lat,long,radius,street,number,city code,city,desc,tags,homepage,contact,,
Helferkreis Zorneding,Helferkreis,48.08696,11.827109,1500,,,85604,Zorneding,,Spenden,http://www.helferkreis-zorneding.de/,,,
Helferkreis Tübinger und Hansastraße,Helferkreis,48.13697,11.52226,1500,Elsenheimerstr. ,48,80686,München,Helferkreis,Zeitspenden,https://helferkreis-tuebinger-und-hansastrasse.traum-verleih.de/,https://helferkreis-tuebinger-und-hansastrasse.traum-verleih.de/wer-sind-wir,,
AGA Aktionsgruppe Asyl Erding,Helferkreis,48.311465,11.918876,1500,Postfach ,1437,85435,Erding,Helferkreis,"Zeitspenden, Sachspenden",http://www.aktionsgruppe-asyl.de/,,,
Miteinander leben in Hadern e.V.,Helferkreis,48.12478,11.47879,1500,Terofalstraße,5,80689,München,Helferkreis,"Zeitspenden, Sachspenden",http://www.miteinander-leben-in-hadern.de/,,,
Helferkreis Integration Schwabhausen,Helferkreis,48.307989,11.352796,1500,,,,Schwabhausen,,,https://helferkreis.wordpress.com/,hk_schwabhausen@web.de,,
Flüchtlingshilfe München,Helferkreis,48.201295,11.593339,1500,,,,München,"Deutschlernheft, Bayernkaserne",,http://fluechtlingshilfe-muenchen.de/,info@fluechtlingshilfe-muenchen.de ,,
Helferkreis Bergkirchen,Helferkreis,48.259027,11.366062,1500,,,,Bergkirchen,,,http://helferkreis-bergkirchen.de/,http://helferkreis-bergkirchen.de/kontakt/,,
Helferkreis des Pfarrverbands Laim,Helferkreis,48.14051,11.49972,1500,,,,München,,,http://www.pfarrverband-laim.de/angebote/helferkreis-fluechtlinge.html,,,
Arbeitskreis Asyl Dachau,Helferkreis,48.262998,11.433902,1500,,,,Dachau,,,https://www.arbeitskreis-asyl-dachau.de,koordination@arbeitskreis-asyl-dachau.de,,
Helferkreis Asyl Unterhaching,Helferkreis,48.068918,11.621253,1500,,,,,,,http://www.helferkreisasyl-uhg.de/,,,
Asylbwerber in Wolfratshausen,,47.91023,11.427416,1500,,,,,,,https://asylinwor.wordpress.com/,,,
Helferkreis Asyl Putzbrunn,,48.075374,11.715823,1500,,,,,,,http://www.tolerantes-putzbrunn.de/helferkreis-asyl/,,,
Helferkreis Flüchtlinge und Integration Pullach im Isartal,,48.05745,11.519143,1500,,,,,,,http://www.helferkreis-fluechtlinge-pullach.de/,,,
Asylhelferkreis Otterfing,,47.909209,11.675348,1500,,,,,,,http://www.asylhelferkreis-otterfing.de/,,,
Helferkreis Asyl Ottobrunn / Hohenbrunn,,48.040057,11.720001,1500,,,,,,,http://www.helferkreis-asyl.com/,,,
Helferkreis Asyl Olching,,48.20707,11.333475,1500,,,,,,,http://www.helferkreis-asyl-olching.de/,,,
Helferkreis Asyl Oberschleißheim,,48.252246,11.559062,1500,,,,,,,"http://www.oberschleissheim.de/index.php?id=0,229",,,moosach
Flüchtlingsunterstützerkreis Neufahrn ,,48.314982,11.661798,1500,,,,,,,http://www.xn--flchtlingshilfe-neufahrn-wsc.de/,,,
Helferkreis Moorenweis,,48.154812,11.080725,1500,,,,,,,http://www.hk-moorenweis.de/,,,
Helferkreis Asyl Mammendorf,,48.210614,11.16742,1500,,,,,,,http://www.helferkreis-asyl-mammendorf.de/,,,
Helferkreis Asyl Neuried,,48.448773,7.815635,1500,,,,,,,http://www.helferkreis-asyl-neuried.de/,,,
Helferkreis Asyl Würmtal,,48.106822,11.424265,1500,,,,,,,http://www.wuermtal-insel.de/fluechtlinge.html,,,
Helferkreis Asyl in der Gemeinde Kirchheim,,48.647103,9.451964,1500,,,,,,,https://www.helferkreis-asyl-kirchheim.de/,,,
Helferkreis Asyl Ismaning,,48.225897,11.674274,1500,,,,,,,http://ismaning.de/wohnen-leben/asylsuchende/,,,
Helferkreis Grünwald,,48.044112,11.53214,1500,,,,,,,http://helferkreis-gruenwald.de/,,,
St. Maria Thalkirchen,,48.09985,11.54466,1500,,,,,,,http://www.mariathalkirchen.de/index.php?id=321,,,
Helferkreis Asyl Alling,,48.140884,11.299713,1500,,,,,,,http://www.asylhelfer-alling.de/,,,
